abv,brewery,date_added,link,name,num_ratings,rating,style,style_rating
0.096, 3 Stars Brewing Company,1/30/2019,www.ratebeer.com/beer/3-stars-desolation/700447/,3 Stars Desolation,3,3.48,Porter - Imperial,
0.045, 3 Stars Brewing Company,9/10/2018,www.ratebeer.com/beer/3-stars-dubliner/656803/,3 Stars Dubliner,1,2.77,Red Ale / Intl Amber Ale,
0.087, 3 Stars Brewing Company,11/4/2012,www.ratebeer.com/beer/3-stars-ebony-ivory/191038/,3 Stars Ebony & Ivory,16,3.53,Strong Ale - American,66.0
0.05, 3 Stars Brewing Company,12/23/2016,www.ratebeer.com/beer/3-stars-embracing-the-storm/474246/,3 Stars Embracing the Storm,1,3.04,Stout,
0.085, 3 Stars Brewing Company,12/31/2018,www.ratebeer.com/beer/3-stars-fernet-about-it/692309/,3 Stars Fernet About It,0,,Stout - Imperial,
0.067, 3 Stars Brewing Company,1/17/2018,www.ratebeer.com/beer/3-stars-funk-yo-couch/584866/,3 Stars Funk Yo Couch,1,2.89,Sour / Wild Beer,
0.075, 3 Stars Brewing Company,10/9/2018,www.ratebeer.com/beer/3-stars-funky-boss/665194/,3 Stars Funky Boss,1,3.15,Sour - Flanders Red / Bruin,
0.074, 3 Stars Brewing Company,12/30/2016,www.ratebeer.com/beer/3-stars-funkyard-dog/475638/,3 Stars Funkyard Dog,11,3.42,Sour / Wild Beer,38.0
0.058, 3 Stars Brewing Company,9/25/2016,www.ratebeer.com/beer/3-stars-ghost-pineapple/452347/,3 Stars Ghost (Pineapple),1,3.02,IPA,
0.058, 3 Stars Brewing Company,10/4/2014,www.ratebeer.com/beer/3-stars-ghost-white-ipa/291233/,3 Stars Ghost White IPA,63,3.43,IPA,66.0
0.096, 3 Stars Brewing Company,1/22/2013,www.ratebeer.com/beer/3-stars-global-pandemic/198811/,3 Stars Global Pandemic,4,3.17,Porter - Imperial,
0.133, 3 Stars Brewing Company,10/13/2017,www.ratebeer.com/beer/3-stars-grand-cru/559162/,3 Stars Grand Cru,5,3.37,Belgian Ale - Strong Pale,
0.059, 3 Stars Brewing Company,9/10/2015,www.ratebeer.com/beer/3-stars-grapefruit-ghost-white-ipa/359886/,3 Stars Grapefruit Ghost White IPA,13,3.28,IPA,40.0
0.048, 3 Stars Brewing Company,5/10/2014,www.ratebeer.com/beer/3-stars-green-eyed-devil/264844/,3 Stars Green Eyed Devil,5,2.95,ISA - Session IPA,
0.153, 3 Stars Brewing Company,12/15/2017,www.ratebeer.com/beer/3-stars-habeus-corpses/576353/,3 Stars Habeus Corpses,1,3.06,Strong Ale - American,
0.066, 3 Stars Brewing Company,10/5/2012,www.ratebeer.com/beer/3-stars-harvest-ale/187650/,3 Stars Harvest Ale,5,3.07,Pale Ale - American / APA,
0.06, 3 Stars Brewing Company,7/28/2013,www.ratebeer.com/beer/3-stars-harvester-of-sorrow/222730/,3 Stars Harvester of Sorrow,4,3.35,Saison / Farmhouse / Grisette,
0.083, 3 Stars Brewing Company,8/25/2017,www.ratebeer.com/beer/3-stars-jabberwocky-superfly/545924/,3 Stars Jabberwocky Superfly,2,3.04,IIPA - Imperial / Double IPA,
0.042, 3 Stars Brewing Company,9/14/2013,www.ratebeer.com/beer/3-stars-lime-basil-saison-coconut/229169/,3 Stars Lime Basil Saison (Coconut),1,2.83,Saison / Farmhouse / Grisette,
0.042, 3 Stars Brewing Company,9/1/2012,www.ratebeer.com/beer/3-stars-lime-basil-saison-lbj/184218/,3 Stars Lime Basil Saison (LBJ),11,3.07,Saison / Farmhouse / Grisette,15.0
0.124, 3 Stars Brewing Company,3/9/2017,www.ratebeer.com/beer/3-stars-madness/493819/,3 Stars Madness,2,3.26,Old Ale,
0.124, 3 Stars Brewing Company,3/16/2016,www.ratebeer.com/beer/3-stars-madness-toasted-cardamom-and-juniper-berries/403944/,3 Stars Madness (toasted cardamom and juniper berries),3,3.18,Old Ale,
0.08, 3 Stars Brewing Company,2/27/2018,www.ratebeer.com/beer/3-stars-natural-mystic/595790/,3 Stars Natural Mystic,4,3.4,IIPA - Imperial / Double IPA,
0.05, 3 Stars Brewing Company,11/21/2013,www.ratebeer.com/beer/3-stars-nectar-of-the-bogs/238891/,3 Stars Nectar of the Bogs,29,3.23,Saison / Farmhouse / Grisette,33.0
0.09, 3 Stars Brewing Company,9/10/2018,www.ratebeer.com/beer/3-stars-nerf-guns/656798/,3 Stars Nerf Guns,1,3.04,Stout - Imperial,
0.062, 3 Stars Brewing Company,3/11/2019,www.ratebeer.com/beer/3-stars-never-say-never/711705/,3 Stars Never Say Never,0,,Amber Lager - Intl / Vienna,
0.058, 3 Stars Brewing Company,3/2/2014,www.ratebeer.com/beer/3-stars-northern-hemisphere-samsquanch/253701/,3 Stars Northern Hemisphere Samsquanch,2,2.92,IPA,
0.075, 3 Stars Brewing Company,1/5/2019,www.ratebeer.com/beer/3-stars-nuthin-but-dem-lacs/693727/,3 Stars Nuthin' But Dem Lacs,2,3.07,IPA,
0.043, 3 Stars Brewing Company,9/10/2018,www.ratebeer.com/beer/3-stars-orange-and-coriander-saison/656800/,3 Stars Orange and Coriander Saison,1,3.0,Saison / Farmhouse / Grisette,
0.096, 3 Stars Brewing Company,5/31/2011,www.ratebeer.com/beer/3-stars-pandemic-breakfast-porter/146097/,3 Stars Pandemic Breakfast Porter,43,3.57,Porter - Imperial,47.0
0.097, 3 Stars Brewing Company,8/9/2013,www.ratebeer.com/beer/3-stars-pandemic-breakfast-porter-cherry-wood/224373/,3 Stars Pandemic Breakfast Porter (Cherry Wood),2,3.0,Porter - Imperial,
0.096, 3 Stars Brewing Company,8/14/2012,www.ratebeer.com/beer/3-stars-pandemic-breakfast-porter-cocoa/182490/,3 Stars Pandemic Breakfast Porter (Cocoa),7,3.2,Porter - Imperial,
0.096, 3 Stars Brewing Company,8/12/2012,www.ratebeer.com/beer/3-stars-pandemic-breakfast-porter-toasted-oak/182322/,3 Stars Pandemic Breakfast Porter (Toasted Oak),4,2.98,Porter - Imperial,
0.096, 3 Stars Brewing Company,2/27/2013,www.ratebeer.com/beer/3-stars-pandemic-breakfast-porter-vanilla-beans/203114/,3 Stars Pandemic Breakfast Porter (Vanilla Beans),1,2.9,Porter - Imperial,
0.096, 3 Stars Brewing Company,11/7/2012,www.ratebeer.com/beer/3-stars-pandemic-breakfast-porter-woodford-reserve/191259/,3 Stars Pandemic Breakfast Porter (Woodford Reserve),2,2.93,Porter - Imperial,
0.065, 3 Stars Brewing Company,9/29/2012,www.ratebeer.com/beer/3-stars-peppercorn-saison/187037/,3 Stars Peppercorn Saison,0,,Saison / Farmhouse / Grisette,
0.065, 3 Stars Brewing Company,11/18/2015,www.ratebeer.com/beer/3-stars-peppercorn-saison-apricots/376062/,3 Stars Peppercorn Saison (Apricots),1,3.0,Saison / Farmhouse / Grisette,
0.065, 3 Stars Brewing Company,10/6/2015,www.ratebeer.com/beer/3-stars-peppercorn-saison-blue-plums/365766/,3 Stars Peppercorn Saison (Blue Plums),1,3.11,Saison / Farmhouse / Grisette,
0.065, 3 Stars Brewing Company,8/10/2015,www.ratebeer.com/beer/3-stars-peppercorn-saison-cherries/353032/,3 Stars Peppercorn Saison (Cherries),5,3.12,Saison / Farmhouse / Grisette,
0.065, 3 Stars Brewing Company,8/25/2017,www.ratebeer.com/beer/3-stars-peppercorn-saison-orange-peel/545931/,3 Stars Peppercorn Saison (Orange Peel),2,3.05,Saison / Farmhouse / Grisette,
0.06, 3 Stars Brewing Company,10/28/2015,www.ratebeer.com/beer/3-stars-persica-rising/371345/,3 Stars Persica Rising,3,3.07,Saison / Farmhouse / Grisette,
0.053, 3 Stars Brewing Company,3/7/2014,www.ratebeer.com/beer/3-stars-phoenix-rye-saison/254318/,3 Stars Phoenix Rye Saison,13,3.34,Saison / Farmhouse / Grisette,54.0
0.068, 3 Stars Brewing Company,8/23/2018,www.ratebeer.com/beer/3-stars-pinkies-up/650795/,3 Stars Pinkies Up,2,3.11,Sour / Wild Beer,
0.08, 3 Stars Brewing Company,9/21/2016,www.ratebeer.com/beer/3-stars-pounding-trees/451269/,3 Stars Pounding Trees,19,3.52,IIPA - Imperial / Double IPA,48.0
0.087, 3 Stars Brewing Company,5/8/2014,www.ratebeer.com/beer/3-stars-queen-of-the-damned/264472/,3 Stars Queen of the Damned,5,3.21,Strong Ale - American,
0.074, 3 Stars Brewing Company,8/10/2018,www.ratebeer.com/beer/3-stars-sabertooth-unicorn/646783/,3 Stars Sabertooth Unicorn,2,3.19,Sour / Wild Beer,
0.051, 3 Stars Brewing Company,7/16/2014,www.ratebeer.com/beer/3-stars-sansho-panza/276501/,3 Stars Sansho Panza,3,3.04,Saison / Farmhouse / Grisette,
0.069, 3 Stars Brewing Company,11/7/2012,www.ratebeer.com/beer/3-stars-sea-change/191260/,3 Stars Sea Change,8,3.2,Pale Ale - American / APA,
0.069, 3 Stars Brewing Company,4/24/2013,www.ratebeer.com/beer/3-stars-sea-change-oak/210791/,3 Stars Sea Change (Oak),3,3.05,Pale Ale - American / APA,
0.086, 3 Stars Brewing Company,1/17/2018,www.ratebeer.com/beer/3-stars-shadows-on-the-sun/584867/,3 Stars Shadows on the Sun,0,,Belgian Ale - Strong Pale,
0.085, 3 Stars Brewing Company,3/30/2018,www.ratebeer.com/beer/3-stars-sonic-hummingbird/604619/,3 Stars Sonic Hummingbird,5,3.09,IIPA - Imperial / Double IPA,
0.087, 3 Stars Brewing Company,8/10/2012,www.ratebeer.com/beer/3-stars-southern-belle/182046/,3 Stars Southern Belle,50,3.54,Brown Ale,97.0
0.087, 3 Stars Brewing Company,8/12/2012,www.ratebeer.com/beer/3-stars-southern-belle-lightly-toasted-oak/182321/,3 Stars Southern Belle (Lightly Toasted Oak),2,2.87,Strong Ale - American,
0.087, 3 Stars Brewing Company,4/20/2015,www.ratebeer.com/beer/3-stars-southern-belle-toasted-coconut-cocoa-nibs/328299/,"3 Stars Southern Belle (Toasted Coconut, Cocoa Nibs)",2,3.18,Strong Ale - American,
0.087, 3 Stars Brewing Company,8/10/2012,www.ratebeer.com/beer/3-stars-southern-belle-vanilla-beans/182045/,3 Stars Southern Belle (Vanilla Beans),1,2.84,Strong Ale - American,
0.087, 3 Stars Brewing Company,11/3/2018,www.ratebeer.com/beer/3-stars-southern-belle-with-pecan/672599/,3 Stars Southern Belle with Pecan,1,2.89,Brown Ale,
0.08, 3 Stars Brewing Company,1/18/2017,www.ratebeer.com/beer/3-stars-star-dust/480297/,3 Stars Star Dust,11,3.41,IIPA - Imperial / Double IPA,36.0
0.085, 3 Stars Brewing Company,1/17/2018,www.ratebeer.com/beer/3-stars-starsky-brunch/584868/,3 Stars Starsky & Brunch,3,3.28,Stout - Imperial,
0.083, 3 Stars Brewing Company,11/13/2015,www.ratebeer.com/beer/3-stars-starsky-and-dutch/374888/,3 Stars Starsky and Dutch,31,3.69,Stout - Imperial,57.0
0.08, 3 Stars Brewing Company,8/25/2017,www.ratebeer.com/beer/3-stars-technicolor-life/545923/,3 Stars Technicolor Life,7,3.36,IIPA - Imperial / Double IPA,
0.088, 3 Stars Brewing Company,5/31/2011,www.ratebeer.com/beer/3-stars-the-brigade/146100/,3 Stars The Brigade,0,,IPA,
, 3 Stars Brewing Company,10/19/2017,www.ratebeer.com/beer/3-stars-the-devil-is-listening/560806/,3 Stars The Devil Is Listening,2,3.02,IIPA - Imperial / Double IPA,
0.083, 3 Stars Brewing Company,5/31/2011,www.ratebeer.com/beer/3-stars-the-district/146093/,3 Stars The District,0,,IPA,
0.092, 3 Stars Brewing Company,5/31/2011,www.ratebeer.com/beer/3-stars-the-double-dipper/146102/,3 Stars The Double Dipper,1,2.93,IIPA - Imperial / Double IPA,
0.05, 3 Stars Brewing Company,6/25/2013,www.ratebeer.com/beer/3-stars-the-movement/218293/,3 Stars The Movement,9,3.12,Pale Ale - American / APA,41.0
0.067, 3 Stars Brewing Company,5/31/2011,www.ratebeer.com/beer/3-stars-the-rye-teous-rye/146098/,3 Stars The Rye-teous Rye,0,,Specialty Grain - Other,
0.058, 3 Stars Brewing Company,10/29/2013,www.ratebeer.com/beer/3-stars-the-samsquanch/235487/,3 Stars The Samsquanch,13,3.27,IPA,46.0
0.058, 3 Stars Brewing Company,1/9/2014,www.ratebeer.com/beer/3-stars-the-samsquanch-lemon-balm/245713/,3 Stars The Samsquanch (Lemon Balm),1,2.83,IPA,
0.065, 3 Stars Brewing Company,5/31/2011,www.ratebeer.com/beer/3-stars-the-statehood-saison/146096/,3 Stars The Statehood Saison,0,,Saison / Farmhouse / Grisette,
0.06, 3 Stars Brewing Company,5/31/2011,www.ratebeer.com/beer/3-stars-the-syndicate/146095/,3 Stars The Syndicate,9,3.08,Saison / Farmhouse / Grisette,20.0
0.065, 3 Stars Brewing Company,8/10/2012,www.ratebeer.com/beer/3-stars-the-urban-farmhouse/182044/,3 Stars The Urban Farmhouse,71,3.35,Saison / Farmhouse / Grisette,47.0
0.065, 3 Stars Brewing Company,12/3/2014,www.ratebeer.com/beer/3-stars-the-urban-farmhouse-cranberries-bitter-orange-peel/302667/,3 Stars The Urban Farmhouse (Cranberries & Bitter Orange Peel),1,2.86,Saison / Farmhouse / Grisette,
